Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers,Num Studies,Total females in studies,Total males in studies,Female proportion in studies,Male proportion in studies,Most relevant studies,Number of participants in most relevant studies,Number of female participants in most relevant studies,Number of male participants in most relevant studies,Proportion of females in most relevant studies,Proportion of males in most relevant studies,Prevalence Men,Prevalence Women,Prevalence Both Genders
RAMIPRIL,DIABETES,22,20,52.38,47.62,72.73,70.0,"['NCT00208221', 'NCT03414723', 'NCT01038895', 'NCT00489229', 'NCT00729365', 'NCT01230034', 'NCT00480805', 'NCT01743014', 'NCT04143412', 'NCT01052272', 'NCT00240422', 'NCT00674596', 'NCT02729441', 'NCT00905528', 'NCT02632747']",15.0,130.0,166.0,43.92,56.08,"['NCT01052272', 'NCT00729365', 'NCT02632747']",296,130,166,43.91891891891892,56.08108108108109,7.8963636363636365,6.334090909090909,7.080454545454546
GLICLAZIDE,DIABETES,4205,2055,67.17,32.83,94.58,90.66,"['NCT00367055', 'NCT03705195', 'NCT01847144', 'NCT01420692', 'NCT03068065', 'NCT02694263', 'NCT00736515', 'NCT00780715', 'NCT01771185', 'NCT02879409', 'NCT00102388', 'NCT01709305', 'NCT02201602', 'NCT03819790', 'NCT06085703', 'NCT01758380', 'NCT01022762', 'NCT00464594', 'NCT00102466', 'NCT04198948', 'NCT03433248', 'NCT00145925', 'NCT02682563', 'NCT01269996', 'NCT00147836', 'NCT01679899', 'NCT00225342', 'NCT01076075', 'NCT02925559', 'NCT02610088', 'NCT00738088', 'NCT01590771', 'NCT03313661', 'NCT01991197', 'NCT02092597', 'NCT06217887']",36.0,3710.0,4919.0,42.99,57.01,"['NCT01709305', 'NCT01590771', 'NCT01022762']",7401,3142,4259,42.453722469936494,57.54627753006351,7.8963636363636365,6.334090909090909,7.080454545454546
INSULIN ISOPHANE,DIABETES,64,51,55.65,44.35,90.62,100.0,"['NCT01122979', 'NCT00346996', 'NCT00191282']",3.0,818.0,1412.0,36.68,63.32,['NCT00191282'],2230,818,1412,36.681614349775785,63.318385650224215,7.8963636363636365,6.334090909090909,7.080454545454546
LISINOPRIL,DIABETES,11,5,68.75,31.25,100.0,100.0,"['NCT01398267', 'NCT00430040', 'NCT00118976', 'NCT01518166', 'NCT00555217', 'NCT00337298', 'NCT02070510', 'NCT01101269', 'NCT00000542', 'NCT01324388']",10.0,74.0,2952.0,2.45,97.55,"['NCT00555217', 'NCT01324388', 'NCT00430040']",3026,74,2952,2.4454725710508924,97.55452742894911,7.8963636363636365,6.334090909090909,7.080454545454546
EZETIMIBE,DIABETES,23,5,82.14,17.86,100.0,100.0,"['NCT00079638', 'NCT05365438', 'NCT02682680', 'NCT00551876', 'NCT01103648', 'NCT01384058', 'NCT04700436', 'NCT03204799', 'NCT03217409', 'NCT00541697', 'NCT03531905', 'NCT04369664', 'NCT00395603', 'NCT00433823', 'NCT00699023', 'NCT00879710', 'NCT00477204', 'NCT00157482', 'NCT01035320', 'NCT05579626', 'NCT00461630', 'NCT00110435', 'NCT01185236', 'NCT05613400', 'NCT00423488', 'NCT01008345', 'NCT05641753', 'NCT00862251', 'NCT04589351']",29.0,10020.0,43744.0,18.64,81.36,"['NCT00461630', 'NCT00862251', 'NCT03531905']",53446,9894,43552,18.512143097706097,81.48785690229391,7.8963636363636365,6.334090909090909,7.080454545454546
GLIMEPIRIDE,DIABETES,14,28,33.33,66.67,57.14,82.14,"['NCT00608179', 'NCT00576784', 'NCT00622284', 'NCT00775684', 'NCT01087502', 'NCT00908921', 'NCT00225264', 'NCT01189890', 'NCT01006603', 'NCT01794143', 'NCT00562250', 'NCT04470310', 'NCT02099110', 'NCT02026310', 'NCT01296412', 'NCT04183868', 'NCT01725672', 'NCT02964572', 'NCT01511172', 'NCT02106104', 'NCT02471404', 'NCT01863667', 'NCT00913367', 'NCT00612144', 'NCT00099944', 'NCT00783744', 'NCT00469092', 'NCT01511692', 'NCT00343980', 'NCT01123980', 'NCT00359762', 'NCT00353691', 'NCT02426294', 'NCT03081676', 'NCT00839527', 'NCT00722631', 'NCT00614120', 'NCT01678820', 'NCT01455922', 'NCT02443922', 'NCT00699322', 'NCT01951339', 'NCT02280486', 'NCT01660386', 'NCT02312063', 'NCT02694263', 'NCT01318135', 'NCT00792935', 'NCT01481116', 'NCT01429818', 'NCT01999218', 'NCT01453049', 'NCT02301806', 'NCT02630706', 'NCT01682759', 'NCT02919059', 'NCT00770952', 'NCT01699932', 'NCT01755156', 'NCT02484209', 'NCT01769378', 'NCT02007278', 'NCT01958671', 'NCT04240171', 'NCT04237493', 'NCT01144728', 'NCT01704261', 'NCT00318461', 'NCT05162183', 'NCT01318083', 'NCT01007097', 'NCT01841697', 'NCT01709305', 'NCT02973477', 'NCT00770653', 'NCT00437554', 'NCT00427154', 'NCT02098733', 'NCT00993187', 'NCT01177384', 'NCT00701090', 'NCT00838903', 'NCT02226003', 'NCT00474838', 'NCT00309608', 'NCT00294723', 'NCT01509755', 'NCT01408095', 'NCT02769481', 'NCT01167881', 'NCT00968812', 'NCT02419612', 'NCT04528212', 'NCT02098746', 'NCT01614769', 'NCT00562172', 'NCT01547104', 'NCT01183104', 'NCT01509001', 'NCT00106340', 'NCT02956044', 'NCT05073692', 'NCT02033889', 'NCT01890629', 'NCT01425580', 'NCT01204580', 'NCT03060980', 'NCT03693560', 'NCT00957060', 'NCT01404676', 'NCT01561976', 'NCT00924573', 'NCT01517373', 'NCT01075282', 'NCT00620282', 'NCT02373865', 'NCT02089126', 'NCT02564926', 'NCT01444248', 'NCT00633425', 'NCT02954822', 'NCT00318422', 'NCT01812122', 'NCT00939939', 'NCT05386186', 'NCT06068686', 'NCT00469586', 'NCT01703286', 'NCT01262586', 'NCT04841096', 'NCT02072096', 'NCT01565096', 'NCT01243424', 'NCT01610934', 'NCT01341717', 'NCT01910441', 'NCT05538819', 'NCT03009513', 'NCT01717313', 'NCT01495013', 'NCT03118713', 'NCT00858013', 'NCT00949442', 'NCT02985242', 'NCT01076075', 'NCT01644500', 'NCT01699737', 'NCT01593137', 'NCT02609815', 'NCT02036515', 'NCT00318656', 'NCT00842556', 'NCT02142309', 'NCT01459809', 'NCT00708578', 'NCT03332771', 'NCT01590771', 'NCT01457911', 'NCT05975528', 'NCT00941161', 'NCT01455883', 'NCT00747383', 'NCT00619697', 'NCT00449605', 'NCT05099198', 'NCT00360698', 'NCT00680745', 'NCT00044447', 'NCT00225277', 'NCT01829477', 'NCT02728453', 'NCT01477853', 'NCT00740051', 'NCT00331851', 'NCT00032487', 'NCT01494987', 'NCT04287387']",177.0,39690.0,52964.0,42.84,57.16,"['NCT01243424', 'NCT00839527', 'NCT01709305']",23159,10846,12313,46.83276479986183,53.16723520013817,7.8963636363636365,6.334090909090909,7.080454545454546
ACARBOSE,DIABETES,28,48,36.84,63.16,96.43,85.42,"['NCT01915264', 'NCT00417950', 'NCT02049814', 'NCT04065581', 'NCT02605772', 'NCT02836704', 'NCT00417729', 'NCT00829660', 'NCT00858676', 'NCT01554631', 'NCT01181674', 'NCT01175486', 'NCT02043886', 'NCT02999841', 'NCT01612741', 'NCT00437918', 'NCT04180813', 'NCT03794336', 'NCT03961659', 'NCT01010100', 'NCT03359837', 'NCT01470937', 'NCT01758471', 'NCT01316861', 'NCT00558883', 'NCT01709305', 'NCT01613105', 'NCT01863147', 'NCT00909051', 'NCT00551954', 'NCT01177384', 'NCT03349684', 'NCT01685502', 'NCT01514838', 'NCT03602638', 'NCT02315495', 'NCT01248481', 'NCT03380546', 'NCT01728740', 'NCT01839344', 'NCT00928889', 'NCT02500329', 'NCT00464594', 'NCT02243176', 'NCT01167231', 'NCT01219582', 'NCT01333774', 'NCT02143765', 'NCT01245166', 'NCT02072096', 'NCT01624116', 'NCT03344341', 'NCT01490918', 'NCT05035849', 'NCT05629806', 'NCT04665570', 'NCT01030952', 'NCT01000688', 'NCT01244971', 'NCT00970528', 'NCT02438397', 'NCT01388153', 'NCT04287387']",63.0,4094.0,5507.0,42.64,57.36,"['NCT01709305', 'NCT02243176', 'NCT02049814']",7435,3076,4359,41.37188971082717,58.62811028917283,7.8963636363636365,6.334090909090909,7.080454545454546
ROSUVASTATIN,DIABETES,8,56,12.5,87.5,62.5,96.43,"['NCT02827903', 'NCT03784703', 'NCT00079638', 'NCT01863914', 'NCT01101568', 'NCT02586129', 'NCT02305862', 'NCT00913562', 'NCT00262548', 'NCT03074630', 'NCT01173939', 'NCT00658463', 'NCT02126358', 'NCT02026817', 'NCT01653119', 'NCT04700436', 'NCT00747149', 'NCT02985099', 'NCT06293742', 'NCT00965315', 'NCT01544309', 'NCT03217409', 'NCT01816997', 'NCT02982798', 'NCT04602754', 'NCT02011633', 'NCT00660764', 'NCT05306990', 'NCT02518503', 'NCT00854503', 'NCT04603508', 'NCT03907423', 'NCT02305355', 'NCT02586155', 'NCT01929512', 'NCT00296374', 'NCT06247748', 'NCT02185963', 'NCT06279234', 'NCT00786136', 'NCT03010475', 'NCT06273215', 'NCT03690778', 'NCT00506961', 'NCT02186483', 'NCT00862251']",46.0,3406.0,6155.0,35.62,64.38,"['NCT02586155', 'NCT00862251', 'NCT00747149']",7648,2598,5050,33.96966527196653,66.03033472803347,7.8963636363636365,6.334090909090909,7.080454545454546
INSULIN DEGLUDEC,DIABETES,804,3736,17.71,82.29,100.0,98.66,"['NCT01865279', 'NCT04952779', 'NCT00611884', 'NCT01051102', 'NCT01513590', 'NCT06280703', 'NCT05904743', 'NCT03952143', 'NCT01336023', 'NCT01868581', 'NCT01046110', 'NCT01059812', 'NCT06288412', 'NCT01074268', 'NCT01868568', 'NCT01002768', 'NCT00966368', 'NCT03070704', 'NCT00612040', 'NCT03938740', 'NCT03737240', 'NCT01865292', 'NCT02298192', 'NCT01959529', 'NCT02420262', 'NCT03987191', 'NCT01006291', 'NCT04569994', 'NCT04585776', 'NCT01135927', 'NCT03687827', 'NCT01513473', 'NCT01835431', 'NCT04227431', 'NCT04663282', 'NCT03175120', 'NCT01916174', 'NCT03674866', 'NCT00976326', 'NCT04760626', 'NCT01030926', 'NCT01173926', 'NCT01006057', 'NCT03952130', 'NCT02117622', 'NCT03823339', 'NCT04623086', 'NCT05362058', 'NCT03862716', 'NCT01676116', 'NCT01134224', 'NCT02967224', 'NCT00961324', 'NCT01079234', 'NCT01076634', 'NCT02392117', 'NCT02754817', 'NCT02906917', 'NCT01680341', 'NCT01569841', 'NCT03244241', 'NCT01865318', 'NCT00964418', 'NCT04075513', 'NCT01590836', 'NCT01455142', 'NCT01623375', 'NCT05434559', 'NCT05275400', 'NCT02030600', 'NCT02821052', 'NCT04770532', 'NCT00992537', 'NCT03736785', 'NCT01068678', 'NCT02762578', 'NCT02148861', 'NCT00972283', 'NCT01865305', 'NCT05576298', 'NCT05069545', 'NCT00613951', 'NCT04965051', 'NCT02360254', 'NCT01193387', 'NCT06202079', 'NCT00983021', 'NCT00964964', 'NCT01174303', 'NCT03668808', 'NCT05767255', 'NCT03416855', 'NCT00614055', 'NCT01868555', 'NCT01467414', 'NCT01154881', 'NCT01043510', 'NCT04892069', 'NCT02773368', 'NCT01151072', 'NCT01984372', 'NCT02964104', 'NCT03400501', 'NCT03214367', 'NCT01319240', 'NCT03349840', 'NCT05463744', 'NCT00982644', 'NCT01437592', 'NCT01135992', 'NCT01849289', 'NCT01868529', 'NCT01009580', 'NCT03214380', 'NCT04848480', 'NCT01618162', 'NCT05802862', 'NCT03172494', 'NCT04450394', 'NCT00978627', 'NCT01392573', 'NCT01865331', 'NCT04795531', 'NCT01068665', 'NCT06132126', 'NCT01326026', 'NCT02680457', 'NCT03745157', 'NCT02911948', 'NCT01713530', 'NCT03785522', 'NCT00993096', 'NCT04955834', 'NCT02648217', 'NCT01704417', 'NCT04042441', 'NCT05417841', 'NCT03740919', 'NCT02230618', 'NCT02034513', 'NCT02779413', 'NCT01880736', 'NCT02500706', 'NCT02607306', 'NCT03377699', 'NCT01059799', 'NCT01114542', 'NCT03882970', 'NCT02100475', 'NCT04588259', 'NCT05552859', 'NCT02536859', 'NCT04538352', 'NCT01814137', 'NCT06153537', 'NCT05360537', 'NCT05641337', 'NCT05218915', 'NCT02670915', 'NCT03292185', 'NCT01045707', 'NCT01365507', 'NCT04450407', 'NCT01138488', 'NCT04315688', 'NCT03078478', 'NCT01272193', 'NCT02967211', 'NCT04276428', 'NCT00982228', 'NCT05243628', 'NCT01364428', 'NCT01388361', 'NCT02501161', 'NCT00842361', 'NCT03838783', 'NCT03268005', 'NCT01773798', 'NCT01952145', 'NCT01045447', 'NCT01664247', 'NCT01076647', 'NCT01125553', 'NCT01570751', 'NCT02738151', 'NCT03387787', 'NCT00841087', 'NCT04666987']",188.0,42754.0,53504.0,44.42,55.58,"['NCT01959529', 'NCT01336023', 'NCT03078478']",21812,8754,13058,40.13387126352467,59.86612873647533,7.8963636363636365,6.334090909090909,7.080454545454546
REPAGLINIDE,DIABETES,223,129,63.35,36.65,94.62,96.12,"['NCT03824002', 'NCT01720290', 'NCT00118950', 'NCT00662714', 'NCT00832481', 'NCT00336310', 'NCT00763412', 'NCT02040246', 'NCT01698931', 'NCT00799448', 'NCT02694263', 'NCT00118963', 'NCT00709917', 'NCT00819741', 'NCT03359837', 'NCT00399711', 'NCT01562561', 'NCT01709305', 'NCT00568984', 'NCT01720303', 'NCT01140438', 'NCT00072904', 'NCT00959101', 'NCT01489644', 'NCT00231192', 'NCT01022762', 'NCT01605773', 'NCT00568074', 'NCT00491725', 'NCT01490658', 'NCT01355718', 'NCT01498913', 'NCT01077570', 'NCT01498900', 'NCT01465152', 'NCT01780051', 'NCT00745433']",37.0,2664.0,3773.0,41.39,58.61,"['NCT01709305', 'NCT01022762', 'NCT00819741']",6432,2657,3775,41.30907960199005,58.69092039800995,7.8963636363636365,6.334090909090909,7.080454545454546
ATORVASTATIN,DIABETES,93,24,79.49,20.51,48.39,70.83,"['NCT02437084', 'NCT03784703', 'NCT00079638', 'NCT05365438', 'NCT01208701', 'NCT03018444', 'NCT00529191', 'NCT00636766', 'NCT01518166', 'NCT00442325', 'NCT05730634', 'NCT00640549', 'NCT06293742', 'NCT00491400', 'NCT03745300', 'NCT01544309', 'NCT04882293', 'NCT03660293', 'NCT01322711', 'NCT00124397', 'NCT00541697', 'NCT02243098', 'NCT00442845', 'NCT02967653', 'NCT00309751', 'NCT00793754', 'NCT00134264', 'NCT05306990', 'NCT00395603', 'NCT02518503', 'NCT05806723', 'NCT00433823', 'NCT00134550', 'NCT02305355', 'NCT02586155', 'NCT05327595', 'NCT00130481', 'NCT01497912', 'NCT02662569', 'NCT00974740', 'NCT02125682', 'NCT02947620', 'NCT00296374', 'NCT01448174', 'NCT01236365', 'NCT00932048', 'NCT00110435', 'NCT00522158', 'NCT01720719', 'NCT01495013', 'NCT00166036', 'NCT01185236', 'NCT01239849', 'NCT00344370', 'NCT02842359', 'NCT00141232', 'NCT06273215', 'NCT03195153', 'NCT05641753', 'NCT01477853', 'NCT00862251']",61.0,4284.0,6849.0,38.48,61.52,"['NCT02586155', 'NCT02662569', 'NCT00862251']",8424,3136,5288,37.2269705603039,62.7730294396961,7.8963636363636365,6.334090909090909,7.080454545454546
ISLET CELL TRANSPLANT,DIABETES,3,21,12.5,87.5,100.0,100.0,"['NCT00708604', 'NCT00021801', 'NCT00303134', 'NCT00566813', 'NCT01897688', 'NCT00021580', 'NCT00706420', 'NCT00214786', 'NCT00530686', 'NCT03698396', 'NCT03047200', 'NCT00021788']",12.0,20.0,4.0,83.33,16.67,"['NCT00566813', 'NCT00214786']",24,20,4,83.33333333333334,16.666666666666664,7.8963636363636365,6.334090909090909,7.080454545454546
VALSARTAN,DIABETES,87,9,90.62,9.38,97.7,66.67,"['NCT00239538', 'NCT04707508', 'NCT03938389', 'NCT00407680', 'NCT03893526', 'NCT02815657', 'NCT00655330', 'NCT01095822', 'NCT03508739', 'NCT00097786', 'NCT00982358', 'NCT02817217', 'NCT00202618', 'NCT00921570', 'NCT02639637', 'NCT00494715', 'NCT00241085', 'NCT00599885', 'NCT04055428', 'NCT00839683', 'NCT00129233', 'NCT05095922', 'NCT01375322', 'NCT00503152']",24.0,9440.0,9208.0,50.62,49.38,"['NCT00097786', 'NCT02639637']",18648,9440,9208,50.622050622050615,49.37794937794938,7.8963636363636365,6.334090909090909,7.080454545454546
SAXAGLIPTIN,DIABETES,156,157,49.84,50.16,89.1,82.17,"['NCT02481479', 'NCT00770302', 'NCT04170790', 'NCT00897390', 'NCT01006603', 'NCT02583438', 'NCT00918138', 'NCT02273050', 'NCT02605772', 'NCT02104804', 'NCT02471404', 'NCT02597101', 'NCT02060201', 'NCT00121667', 'NCT06099067', 'NCT01874080', 'NCT00661362', 'NCT01755494', 'NCT02681094', 'NCT00960076', 'NCT02917031', 'NCT01646320', 'NCT02551874', 'NCT01319357', 'NCT00683657', 'NCT01267448', 'NCT01525225', 'NCT02104739', 'NCT02280486', 'NCT01107886', 'NCT01660386', 'NCT00857558', 'NCT00666458', 'NCT01608724', 'NCT01068717', 'NCT04521049', 'NCT01662999', 'NCT02407899', 'NCT04735042', 'NCT01204775', 'NCT05347459', 'NCT03169959', 'NCT01192152', 'NCT02285985', 'NCT03138356', 'NCT01606007', 'NCT00757588', 'NCT01782261', 'NCT03660683', 'NCT01206647', 'NCT06107153', 'NCT03199053', 'NCT01305551', 'NCT00918879', 'NCT01006590', 'NCT02386943', 'NCT02965443', 'NCT01068743', 'NCT02089438', 'NCT01768208', 'NCT01582308', 'NCT03936023', 'NCT04445714', 'NCT02315495', 'NCT02307695', 'NCT02182895', 'NCT02304081', 'NCT02419612', 'NCT02765204', 'NCT02920801', 'NCT00935467', 'NCT05073692', 'NCT01365091', 'NCT03714594', 'NCT02243176', 'NCT00316082', 'NCT02223065', 'NCT01192139', 'NCT00614939', 'NCT01434186', 'NCT02547935', 'NCT03608358', 'NCT01922817', 'NCT00121641', 'NCT01552018', 'NCT00313313', 'NCT00950599', 'NCT00899470', 'NCT01765270', 'NCT01619059', 'NCT00698932', 'NCT01703637', 'NCT00327015', 'NCT00374907', 'NCT00575588', 'NCT00885378', 'NCT02284893', 'NCT02613897', 'NCT01960205', 'NCT01552005', 'NCT02969798', 'NCT01527747', 'NCT02024477', 'NCT01128153', 'NCT00295633']",105.0,28495.0,41926.0,40.46,59.54,"['NCT01107886', 'NCT00327015', 'NCT02471404']",37474,12914,24560,34.4612264503389,65.5387735496611,7.8963636363636365,6.334090909090909,7.080454545454546
LIRAGLUTIDE,DIABETES,33,19,63.46,36.54,63.64,57.89,"['NCT04952779', 'NCT01515579', 'NCT03011021', 'NCT04829903', 'NCT01794143', 'NCT01785043', 'NCT01499108', 'NCT03011008', 'NCT01336023', 'NCT02718950', 'NCT01117350', 'NCT01516255', 'NCT00154414', 'NCT05467514', 'NCT02098395', 'NCT03260881', 'NCT04881110', 'NCT02889510', 'NCT01296412', 'NCT00395746', 'NCT01821846', 'NCT01232946', 'NCT01612468', 'NCT02057172', 'NCT01755572', 'NCT01511172', 'NCT01507272', 'NCT03070704', 'NCT00943501', 'NCT01575301', 'NCT01206101', 'NCT06099067', 'NCT05779644', 'NCT02298192', 'NCT01511692', 'NCT02461589', 'NCT01595789', 'NCT01919489', 'NCT01270789', 'NCT05313529', 'NCT04324229', 'NCT02420262', 'NCT01779362', 'NCT01128894', 'NCT03555994', 'NCT01638260', 'NCT04535960', 'NCT01664676', 'NCT01620476', 'NCT01722227', 'NCT01175473', 'NCT01973231', 'NCT00518882', 'NCT03175120', 'NCT00614120', 'NCT00993720', 'NCT01916174', 'NCT03068065', 'NCT01536665', 'NCT01784965', 'NCT01722266', 'NCT01518166', 'NCT01288326', 'NCT02488057', 'NCT03888157', 'NCT00696657', 'NCT02516657', 'NCT01795248', 'NCT03101930', 'NCT04657939', 'NCT03823339', 'NCT01029886', 'NCT01755416', 'NCT01676116', 'NCT01617434', 'NCT02472717', 'NCT02754817', 'NCT01455441', 'NCT01394341', 'NCT03421119', 'NCT02863419', 'NCT01761318', 'NCT05294536', 'NCT01744236', 'NCT01234649', 'NCT03936049', 'NCT03115099', 'NCT01542242', 'NCT01509742', 'NCT02655770', 'NCT03632759', 'NCT01624259', 'NCT02113332', 'NCT03993132', 'NCT02109315', 'NCT01541215', 'NCT01511185', 'NCT01363609', 'NCT02198209', 'NCT02879409', 'NCT02721888', 'NCT01562678', 'NCT04529278', 'NCT02321878', 'NCT03707171', 'NCT01558271', 'NCT02205528', 'NCT00318461', 'NCT04057261', 'NCT01782261', 'NCT05162183', 'NCT03010683', 'NCT01508897', 'NCT01870297', 'NCT02638805', 'NCT02743598', 'NCT01937598', 'NCT01392898', 'NCT01511198', 'NCT01399645', 'NCT03948347', 'NCT02730377', 'NCT01515553', 'NCT01473953', 'NCT02787551', 'NCT03449654', 'NCT02617654', 'NCT01212133', 'NCT00983021', 'NCT01740921', 'NCT02973321', 'NCT01856790', 'NCT02292290', 'NCT02503943', 'NCT01599338', 'NCT01512108', 'NCT01790308', 'NCT01508923', 'NCT00294723', 'NCT01836523', 'NCT00873223', 'NCT03235050', 'NCT01373450', 'NCT02501850', 'NCT05767255', 'NCT04146155', 'NCT02443155', 'NCT01509755', 'NCT01517555', 'NCT02055014', 'NCT01299012', 'NCT03883412', 'NCT02077946', 'NCT01517568', 'NCT02773368', 'NCT02036372', 'NCT00993304', 'NCT01596504', 'NCT01518101', 'NCT00154401', 'NCT01572740', 'NCT01319240', 'NCT00761540', 'NCT01722240', 'NCT02014740', 'NCT01515592', 'NCT05073692', 'NCT01507389', 'NCT01620489', 'NCT01425580', 'NCT01618162', 'NCT01484262', 'NCT01753362', 'NCT03172494', 'NCT01516476', 'NCT05029076', 'NCT04531176', 'NCT01505673', 'NCT01392573', 'NCT01597531', 'NCT00620282', 'NCT02008682', 'NCT02584582', 'NCT01654120', 'NCT02255266', 'NCT01226966', 'NCT03182426', 'NCT02911948', 'NCT01179048', 'NCT01982630', 'NCT01513525', 'NCT01403025', 'NCT03480022', 'NCT00318422', 'NCT02344186', 'NCT00856986', 'NCT01620463', 'NCT02492763', 'NCT01733758', 'NCT02231658', 'NCT01508858', 'NCT03191396', 'NCT02072096', 'NCT02092896', 'NCT02783196', 'NCT01787916', 'NCT01610934', 'NCT01345734', 'NCT02505334', 'NCT01879917', 'NCT00700817', 'NCT00393718', 'NCT01508949', 'NCT02650206', 'NCT02607306', 'NCT01508806', 'NCT02765399', 'NCT02832999', 'NCT02324842', 'NCT02100475', 'NCT02960659', 'NCT01511159', 'NCT02351232', 'NCT03087032', 'NCT01593137', 'NCT01507337', 'NCT05360537', 'NCT01507285', 'NCT03292185', 'NCT06439056', 'NCT01917656', 'NCT02473809', 'NCT05390307', 'NCT02299388', 'NCT01966978', 'NCT01615978', 'NCT01890993', 'NCT02674893', 'NCT01507311', 'NCT03018028', 'NCT01388361', 'NCT02501161', 'NCT02408705', 'NCT01952145', 'NCT02518945', 'NCT01628445', 'NCT02138045', 'NCT02964247', 'NCT05360147', 'NCT01664247', 'NCT02660047', 'NCT02686177', 'NCT00333151', 'NCT00331851', 'NCT02043054', 'NCT01907854', 'NCT02908087', 'NCT01514487', 'NCT04666987']",259.0,57216.0,79909.0,41.73,58.27,"['NCT03993132', 'NCT01179048', 'NCT01937598']",77763,30622,47141,39.37862479585407,60.621375204145934,7.8963636363636365,6.334090909090909,7.080454545454546
