Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
COMBIVENT RESPIMAT FOR ORAL INHALATION. FOR USE ONLY WITH COMBIVENT RESPIMAT INHALER,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,6,10,37.5,62.5,0,0,[]
SPIRIVA RESPIMAT FOR ORAL INHALATION WITH RESPIMAT INHALER ONLY. 5ΜG/DOSE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9,7,56.25,43.75,44.44,42.86,[]
SPIRIVA RESPIMAT FOR ORAL INHALATION WITH RESPIMAT INHALER ONLY. 5µG/DOSE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,6,11,35.29,64.71,0,0,[]
FLUTICASONE / VILANTEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,201,102,66.34,33.66,96.02,92.16,[]
INSPIOLTO RESPIMAT FOR ORAL INHALATION. WITH INSPIOLTO RESPIMAT INHALER,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,36,46,43.9,56.1,25,32.61,[]
DUAKLIR GENUAIR FOR ORAL INHALATION. 1 INHALER WITH 30 ACTUATIONS  1 INHALER WITH 60 ACTUATIONS,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,10,13,43.48,56.52,100,0,[]
FLUTICASONE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2,11,15.38,84.62,0,81.82,"['NCT02466503', 'NCT01168310', 'NCT05179512', 'NCT02833480', 'NCT00908362', 'NCT02209974', 'NCT01860066', 'NCT01315249', 'NCT03152149', 'NCT01131806', 'NCT02136875', 'NCT01243788', 'NCT01213693', 'NCT00379028', 'NCT00774761', 'NCT06234345', 'NCT02466347', 'NCT01186653', 'NCT00233051', 'NCT00440687', 'NCT01709903', 'NCT00292838', 'NCT00864812', 'NCT00741767', 'NCT01908140', 'NCT00542880', 'NCT02972476', 'NCT00175565', 'NCT00403286', 'NCT00669617', 'NCT00387036', 'NCT02055352', 'NCT01141452', 'NCT01834885', 'NCT01554488', 'NCT02603393', 'NCT01393145', 'NCT00158847']"
INCRUSE ELLIPTA POWDER FOR ORAL INHALATION,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,22,7,75.86,24.14,22.73,14.29,[]
FLUTICASONE / UMECLIDINIUM / VILANTEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,135,207,39.47,60.53,91.85,95.65,[]
AMOXICILLIN TRIHYDRATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,20,0,100,0,100,-1,[]
LUNG TRANSPLANT,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,20,0,100,-1,100,['NCT01241942']
WIXELA INHUB,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,25,31,44.64,55.36,40,32.26,[]
PMS FLUTICASONE PROPIONATE/SALMETEROL DPI,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,17,3,85,15,23.53,0,[]
CEFTRIAXONE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,6,12,33.33,66.67,100,100,[]
ROSUVASTATIN AND ACETYLSALICYLIC ACID,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,7756,0,100,0,100,-1,[]
OSELTAMIVIR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,999,0,100,-1,100,[]
ACETAMINOPHEN/CAFFEINE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1146,0,100,0,100,-1,[]
OLODATEROL / TIOTROPIUM,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,726,8,98.91,1.09,99.45,100,[]
SALBUTAN ROTADISK,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,256,0,100,-1,100,[]
METHYLPREDNISOLONE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,12,2,85.71,14.29,100,100,['NCT04163536']
GLYCOPYRRONIUM / INDACATEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,52,50,50.98,49.02,80.77,68,[]
BUDESONIDE/FORMOTEROL FUMARATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,207,161,56.25,43.75,69.08,54.66,[]
ACLIDINIUM / FORMOTEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,90,43,67.67,32.33,78.89,76.74,[]
SPIRIVA TIOTROPIUM BROMIDE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,44,2,95.65,4.35,100,100,[]
"FORMOTEROL, GLYCOPYRRONIUM BROMIDE AND BECLOMETASONE",CHRONIC OBSTRUCTIVE PULMONARY DISEASE,201,43,82.38,17.62,100,95.35,[]
ZENHALE SUSPENSION,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,31,0,100,0,100,-1,[]
"VILANTEROL, UMECLIDINIUM BROMIDE AND FLUTICASONE FUROATE",CHRONIC OBSTRUCTIVE PULMONARY DISEASE,80,102,43.96,56.04,97.5,94.12,[]
ATROVENT NASAL SPRAY   21MCG/AEM,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,59,13,81.94,18.06,100,23.08,[]
GLYCOPYRRONIUM BROMIDE/INDACATEROL MALEATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,61,10,85.92,14.08,96.72,40,[]
FENOTEROL AND IPRATROPIUM BROMIDE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,6,18,25,75,100,100,[]
UMECLIDINIUM BROMIDE/VILANTEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,10,22,31.25,68.75,70,68.18,[]
DESOXIMETASONE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,20,0,100,-1,100,[]
ESCITALOPRAM,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,20,0,100,0,100,-1,[]
CORTISONE ACETATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,19,0,100,-1,100,[]
FORMOTEROL FUMARATE DIHYDRATE/BUDESONIDE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,28,12,70,30,35.71,0,[]
UMECLIDINIUM BROMIDE/VILANTEROL TRIFENATATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,53,25,67.95,32.05,100,80,[]
ACLIDINIUM BROMIDE/FORMOTEROL FUMARATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,12,7,63.16,36.84,0,100,"['NCT03181880', 'NCT01462942', 'NCT01437540', 'NCT01437397']"
ALCLOMETASONE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,28,0,100,0,100,-1,[]
UMECLIDINIUM / VILANTEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,8,4,66.67,33.33,100,100,[]
IPRATROPIUM BROMIDE/SALBUTAMOL SULFATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,25,0,100,-1,60,[]
OLODATEROL/TIOTROPIUM,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,21,26,44.68,55.32,23.81,61.54,[]
OLODATEROL HYDROCHLORIDE/TIOTROPIUM BROMIDE MONOHYDRATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,26,38,40.62,59.38,19.23,97.37,[]
DILTIAZEM,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,138,1,99.28,0.72,100,100,[]
FLUTICASONE FUROATEVILANTEROL TRIFENATATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1120,1209,48.09,51.91,97.23,98.51,[]
Trelegy Ellipta,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,42,76,35.59,64.41,100,100,['NCT06282861']
FLUTICASONE PROPIONATE AND SALMETEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,40,0,100,-1,100,[]
ACLIDINIUM BROMIDE/FORMOTEROL FUMARATE DIHYDRATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9,4,69.23,30.77,77.78,0,[]
DOXYCYCLINE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,25,17,59.52,40.48,100,100,"['NCT00857038', 'NCT01398072', 'NCT02305940', 'NCT00170222', 'NCT01744093']"
DEXLANSOPRAZOLE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,13,0,100,0,100,-1,[]
VARENICLINE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,38,0,100,0,100,-1,"['NCT02991781', 'NCT02888444', 'NCT01694732']"
ACETAMINOPHEN PARACETAMOL CAFFEINE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2818,0,100,0,100,-1,[]
CRANBERRY PREPARATION,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,858,0,100,0,100,-1,[]
MEPOLIZUMAB,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,23,0,100,-1,100,['NCT01463644']
PRIVIGEN ALSO KNOW AS IMMUNE GLOBULIN HUMAN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,46,0,100,0,100,-1,[]
RHO(D) IMMUNE GLOBULIN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,23,0,100,0,100,-1,[]
DYMISTA SUSPENSION,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,11,0,100,-1,100,[]
LISINOPRIL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,11,0,100,-1,100,[]
AMLODIPINE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,11,0,100,-1,100,[]
FLUTICASONE/SALMETEROL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,27,76,26.21,73.79,100,100,"['NCT00908362', 'NCT01860066', 'NCT01315249', 'NCT01186653', 'NCT01709903', 'NCT01834885']"
RITUXIMAB,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,37,0,100,0,100,-1,[]
OLODATEROL HYDROCHLORIDE/TIOTROPIUM BROMIDE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,17,0,100,0,100,-1,[]
VENTOLINE SALBUTAMOL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0,14,0,100,-1,100,[]
BISACODYL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,668,0,100,0,100,-1,[]
BENRALIZUMAB,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,6,22,21.43,78.57,100,100,"['NCT04053634', 'NCT02968914', 'NCT02155660', 'NCT02138916', 'NCT05273359']"
ACEBUTOLOL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,272,0,100,0,100,-1,[]
CUVITRU NORMAL IMMUNE GLOBULIN HUMAN. SINGLE DOSE VIALS,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,15,0,100,0,100,-1,[]
BUDESONIDEGLYCOPYRROLATE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,75,39,65.79,34.21,90.67,64.1,[]
GLYBURIDE,DIABETES,331,445,42.65,57.35,86.4,84.49,"['NCT00608179', 'NCT00123643', 'NCT01456650', 'NCT00494312', 'NCT01698931', 'NCT01215331', 'NCT00759720', 'NCT00451620', 'NCT01319734', 'NCT01107717', 'NCT01998113', 'NCT00371306', 'NCT00347100', 'NCT00160485', 'NCT00232583', 'NCT03029702', 'NCT02726490', 'NCT01029795', 'NCT00035568', 'NCT00286468', 'NCT00046462', 'NCT00965991', 'NCT01605773', 'NCT01731431', 'NCT00521820', 'NCT00549874', 'NCT00744965', 'NCT03078725', 'NCT00388986', 'NCT00194896', 'NCT01329016', 'NCT00313313', 'NCT02091336', 'NCT01947699', 'NCT00035542', 'NCT00521742', 'NCT00279045', 'NCT02815787']"
INSULIN GLARGINE,DIABETES,2446,2415,50.32,49.68,81.15,77.06,"['NCT01122979', 'NCT01658579', 'NCT00611884', 'NCT00097084', 'NCT00271284', 'NCT02855684', 'NCT00360984', 'NCT02152384', 'NCT02320721', 'NCT05803421', 'NCT00468364', 'NCT02106364', 'NCT00272064', 'NCT02749890', 'NCT00357890', 'NCT00851903', 'NCT03952143', 'NCT01081938', 'NCT00548808', 'NCT03371108', 'NCT01854723', 'NCT04880850', 'NCT01771250', 'NCT03922750', 'NCT01117350', 'NCT04957914', 'NCT01730014', 'NCT00869414', 'NCT04236895', 'NCT00174681', 'NCT00082381', 'NCT04575181', 'NCT02099110', 'NCT02227212', 'NCT00686712', 'NCT00437112', 'NCT02752412', 'NCT05413369', 'NCT03703869', 'NCT00941369', 'NCT01127269', 'NCT00824668', 'NCT03260868', 'NCT01002768', 'NCT00258804', 'NCT01769404', 'NCT02836704', 'NCT00046501', 'NCT00913367', 'NCT00612040', 'NCT02735044', 'NCT00783744', 'NCT01865292', 'NCT02954692', 'NCT00469092', 'NCT01925989', 'NCT05013229', 'NCT01959529', 'NCT02273180', 'NCT01654380', 'NCT00909480', 'NCT01123980', 'NCT02227862', 'NCT00565162', 'NCT02420262', 'NCT00576862', 'NCT02168491', 'NCT00976391', 'NCT01006291', 'NCT02250794', 'NCT03285594', 'NCT01594060', 'NCT02058160', 'NCT00467376', 'NCT03687827', 'NCT00391027', 'NCT05702073', 'NCT00993473', 'NCT00701831', 'NCT01499082', 'NCT01648582', 'NCT03371082', 'NCT00095082', 'NCT02408120', 'NCT05109520', 'NCT00964574', 'NCT02294474', 'NCT01202474', 'NCT01497574', 'NCT01181674', 'NCT00659165', 'NCT01796366', 'NCT00106366', 'NCT01462266', 'NCT04460326', 'NCT04760626', 'NCT01030926', 'NCT04591626', 'NCT04591457', 'NCT00539448', 'NCT03952130', 'NCT02666430', 'NCT02561130', 'NCT02887625', 'NCT02479022', 'NCT00418522', 'NCT00700622', 'NCT00354939', 'NCT02540486', 'NCT04623086', 'NCT01335763', 'NCT01832935', 'NCT01497535', 'NCT00883558', 'NCT00135096', 'NCT00838916', 'NCT02967224', 'NCT00961324', 'NCT01079234', 'NCT01334034', 'NCT02906917', 'NCT01150617', 'NCT01569841', 'NCT00135941', 'NCT01648218', 'NCT00311818', 'NCT00964418', 'NCT01169818', 'NCT00447213', 'NCT01597713', 'NCT04075513', 'NCT00965549', 'NCT01689142', 'NCT00174642', 'NCT01476475', 'NCT00322075', 'NCT01682759', 'NCT00971659', 'NCT02030600', 'NCT00347100', 'NCT01131052', 'NCT00935532', 'NCT01584232', 'NCT00313937', 'NCT02967237', 'NCT03359837', 'NCT00736515', 'NCT03874715', 'NCT06370715', 'NCT04460885', 'NCT02453685', 'NCT01755156', 'NCT00641056', 'NCT01363609', 'NCT00641407', 'NCT01068678', 'NCT01146678', 'NCT00191178', 'NCT01621178', 'NCT00627471', 'NCT05553093', 'NCT04237493', 'NCT01203111', 'NCT01053728', 'NCT02752828', 'NCT00390728', 'NCT01035528', 'NCT04262661', 'NCT00972283', 'NCT01234597', 'NCT03951805', 'NCT01524705', 'NCT00268645', 'NCT01194245', 'NCT02058147', 'NCT00659477', 'NCT03367377', 'NCT01249677', 'NCT06107153', 'NCT03660553', 'NCT00687453', 'NCT02027753', 'NCT02787551', 'NCT00537251', 'NCT01582451', 'NCT00283751', 'NCT02688933', 'NCT05002933', 'NCT00469833', 'NCT01676233', 'NCT00596687', 'NCT01468987', 'NCT02738879', 'NCT04484779', 'NCT01809184', 'NCT00069784', 'NCT00653302', 'NCT01079364', 'NCT00191464', 'NCT03819790', 'NCT00272090', 'NCT03389490', 'NCT05114590', 'NCT01226043', 'NCT02401243', 'NCT03767543', 'NCT03668808', 'NCT05699408', 'NCT03529123', 'NCT01500850', 'NCT05767255', 'NCT01349855', 'NCT00614055', 'NCT00751114', 'NCT02942914', 'NCT03881995', 'NCT00609895', 'NCT01499095', 'NCT04153981', 'NCT02526810', 'NCT00574912', 'NCT01049412', 'NCT01276912', 'NCT01424046', 'NCT02061969', 'NCT01089569', 'NCT00174668', 'NCT02773368', 'NCT00576368', 'NCT01191268', 'NCT01894568', 'NCT00348972', 'NCT00562172', 'NCT00312104', 'NCT01596504', 'NCT00338104', 'NCT01196104', 'NCT03400501', 'NCT00366301', 'NCT00279201', 'NCT04136067', 'NCT03214367', 'NCT03349840', 'NCT00982644', 'NCT01135992', 'NCT01407289', 'NCT05614089', 'NCT01849289', 'NCT01689129', 'NCT01868529', 'NCT01819129', 'NCT03214380', 'NCT03798080', 'NCT03730662', 'NCT00046462', 'NCT04605991', 'NCT02200991', 'NCT03760991', 'NCT02325960', 'NCT02229227', 'NCT00488527', 'NCT00518427', 'NCT04980027', 'NCT01223131', 'NCT01075282', 'NCT00191282', 'NCT01676220', 'NCT02197520', 'NCT00553020', 'NCT02585674', 'NCT03352674', 'NCT03689374', 'NCT00335465', 'NCT01068665', 'NCT01683266', 'NCT00184626', 'NCT03130426', 'NCT02606357', 'NCT00766857', 'NCT02680457', 'NCT00135057', 'NCT03751657', 'NCT02303730', 'NCT03437330', 'NCT00563225', 'NCT01000922', 'NCT02470039', 'NCT01440439', 'NCT00975286', 'NCT01121835', 'NCT00377858', 'NCT01194258', 'NCT03211858', 'NCT02072096', 'NCT02220296', 'NCT00566124', 'NCT00358124', 'NCT01175824', 'NCT00399724', 'NCT00174824', 'NCT00127634', 'NCT00360334', 'NCT00664534', 'NCT00950534', 'NCT05155917', 'NCT01704417', 'NCT00560417', 'NCT00653341', 'NCT03740919', 'NCT03434119', 'NCT00099619', 'NCT00666718', 'NCT00405418', 'NCT02034513', 'NCT01212913', 'NCT03965013', 'NCT00184613', 'NCT00467649', 'NCT00283049', 'NCT00355849', 'NCT02201199', 'NCT01059799', 'NCT00313742', 'NCT02545842', 'NCT01152242', 'NCT00949442', 'NCT01114542', 'NCT00857870', 'NCT05098470', 'NCT00115570', 'NCT02227875', 'NCT01768559', 'NCT05552859', 'NCT02536859', 'NCT05545800', 'NCT00097500', 'NCT03406000', 'NCT04093752', 'NCT00510952', 'NCT03087032', 'NCT02128932', 'NCT05662332', 'NCT02451137', 'NCT05360537', 'NCT02132637', 'NCT01493115', 'NCT00423215', 'NCT00384215', 'NCT00384085', 'NCT00609856', 'NCT03945656', 'NCT05462756', 'NCT00540709', 'NCT00356109', 'NCT01045707', 'NCT06269107', 'NCT03078478', 'NCT00708578', 'NCT02152371', 'NCT01013571', 'NCT01027871', 'NCT00693771', 'NCT00598793', 'NCT01272193', 'NCT01204593', 'NCT01175811', 'NCT01051011', 'NCT02967211', 'NCT01784211', 'NCT00982228', 'NCT01963728', 'NCT02501161', 'NCT01838083', 'NCT00619697', 'NCT02623998', 'NCT00360698', 'NCT01952145', 'NCT00367445', 'NCT00147745', 'NCT01045447', 'NCT02506647', 'NCT05596747', 'NCT01076647', 'NCT01461577', 'NCT00925977', 'NCT02713477', 'NCT00097877', 'NCT00331851', 'NCT01570751', 'NCT01336751', 'NCT02738151', 'NCT03766854', 'NCT01195454', 'NCT03798054', 'NCT06340854', 'NCT00755287']"
"INSULIN ASPART, HUMAN",DIABETES,2091,5687,26.88,73.12,96.6,97.52,[]
